time, p0, p1, p2, p3
51862954932, [308. 179.], [324. 179.], [324. 217.], [308. 217.]
51961840795, [310. 180.], [332. 180.], [332. 218.], [310. 218.]
52061976070, [316. 217.], [316. 180.], [324. 180.], [324. 217.]
52163764004, [324. 181.], [332. 181.], [332. 218.], [324. 218.]
52261103124, [357. 181.], [366. 181.], [366. 217.], [357. 217.]
52360177518, [367. 180.], [376. 180.], [376. 217.], [367. 217.]
52460688188, [373.70114 179.26392], [382.88235 178.52942], [385.86166 215.77109], [376.68045 216.50558]
52561094110, [364.27695 180.2154 ], [387.6616  177.29233], [392.43082 215.44617], [369.04617 218.36923]
52663161118, [373.66608 178.8267 ], [390.95544 177.44356], [394.01428 215.67885], [376.7249 217.062 ]
52761256007, [382. 185.], [382. 181.], [384. 181.], [384. 185.]
52861278516, [375.15387 178.23077], [389.5539  176.43079], [394.43085 215.44617], [380.03082 217.24615]
52962503767, [368.77643 179.09412], [389.9588  177.46469], [392.83527 214.85883], [371.6529  216.48825]
53062660286, [375.29236 179.33847], [384.64618 178.16925], [389.30774 215.46155], [379.95392 216.63077]
53164049290, [369.39996 179.2    ], [378.53845 178.6923 ], [380.6554  216.79692], [371.5169  217.30461]
53261570996, [361. 181.], [370. 181.], [370. 217.], [361. 217.]
53360703062, [350. 181.], [359. 181.], [359. 218.], [350. 218.]
53463163763, [319. 218.], [319. 180.], [327. 180.], [327. 218.]
53563198385, [312. 180.], [320. 180.], [320. 218.], [312. 218.]
53663997778, [309. 179.], [327. 179.], [327. 218.], [309. 218.]
53762450283, [309. 180.], [320. 180.], [320. 218.], [309. 218.]
53861193936, [309. 180.], [321. 180.], [321. 218.], [309. 218.]
53961715034, [309. 179.], [327. 179.], [327. 218.], [309. 218.]
54061978950, [311.4828  216.79312], [313.6621  179.74484], [337.7552  181.16208], [335.57587 218.21036]
54163408124, [319. 181.], [327. 181.], [327. 218.], [319. 218.]
54261002855, [350. 181.], [359. 181.], [359. 218.], [350. 218.]
54361087001, [361. 181.], [370. 181.], [370. 217.], [361. 217.]
54461707032, [369.53314 180.12982], [378.6657  179.64917], [380.62427 216.86188], [371.4917  217.34253]
54562047638, [374.77994 179.46   ], [384.15994 178.12001], [389.47995 215.36   ], [380.09995 216.7    ]
54662452915, [368.77643 179.09413], [389.9588 177.4647], [392.90588 215.77647], [371.7235 217.4059]
54761250962, [374.58002 178.06   ], [389. 176.], [394.62 215.34], [380.2 217.4]
54861375647, [379.90002 180.7    ], [382.30005 179.90001], [384.40002 186.2    ], [382.      186.99998]
54961553947, [372.4756 178.2805], [389.92682 176.34148], [394.19513 214.75612], [376.7439  216.69514]
55062202999, [365.0045 179.0664], [388.30093 177.5133 ], [390.85403 215.80975], [367.5576  217.36285]
55163366510, [373.7983 179.1685], [382.82596 178.69337], [384.78177 215.85359], [375.75412 216.32872]
55261050100, [365.84506 180.1262 ], [374.99045 179.76039], [376.47446 216.86104], [367.32907 217.22685]
55361025722, [354.3115  181.42624], [363.14755 180.62296], [366.42624 216.6885 ], [357.59018 217.49179]
55461645884, [628.  46.], [639.  46.], [639.  77.], [628.  77.]
55562113000, [619.  28.], [639.  28.], [639. 133.], [619. 133.]
55663042181, [605.  28.], [639.  28.], [639. 135.], [605. 135.]
55761458095, [590.  42.], [639.  42.], [639. 142.], [590. 142.]
55861376806, [569.  28.], [639.  28.], [639. 156.], [569. 156.]
55962290783, [559.6847   42.61073], [637.3613   35.38499], [648.0509  150.29759], [570.37427 157.52333]
56062635206, [560.65356   53.534653], [625.9011    47.009903], [635.0199  138.19803], [569.77234 144.72278]
56163820683, [518.48236    9.257393], [606.596       2.8100662], [621.5516  207.20355], [533.4379  213.65088]
56261890206, [560.0173   80.61272], [590.1502   75.97688], [602.023   153.15028], [571.8901  157.78612]
56361486453, [519.3117    20.638832], [557.92645   17.799522], [570.19354 184.63281], [531.5788  187.47214]
56461901160, [519.51227   44.390236], [550.7974    41.669792], [564.2083  195.89493], [532.92316 198.61536]
56562227138, [522.80975   59.146034], [536.08405  58.26107], [541.68585 142.28763], [528.41156 143.17258]
56662506614, [362.04623 180.36925], [385.67697 177.41539], [390.4462  215.56923], [366.81546 218.52309]
56760923899, [371.21783 179.1782 ], [389.33667 177.36632], [393.07922 214.79207], [374.9604  216.60396]
56860930599, [377.85516 177.2621 ], [389.11035 176.32417], [392.39313 215.71727], [381.13794 216.6552 ]
56961623545, [375.10773 177.86154], [388.52313 176.18463], [393.44623 215.56924], [380.03082 217.24615]
57062218263, [368.5122  178.60976], [388.81708 176.35365], [393.17072 215.53658], [372.86584 217.79268]
57163432799, [376.65863 178.19655], [385.68622 177.66551], [387.93103 215.82759], [378.90344 216.35863]
57260976993, [371. 217.], [371. 179.], [380. 179.], [380. 217.]
57361348069, [358.67996 181.76   ], [367.21994 180.54   ], [372.35995 216.52   ], [363.81998 217.74   ]
57464507097, [351. 181.], [360. 181.], [360. 218.], [351. 218.]
57563452527, [320. 181.], [328. 181.], [328. 218.], [320. 218.]
57663130985, [314. 180.], [322. 180.], [322. 218.], [314. 218.]
57761581681, [310. 179.], [329. 179.], [329. 218.], [310. 218.]
57861409815, [309. 179.], [322. 179.], [322. 218.], [309. 218.]
57960912040, [310. 217.], [310. 181.], [321. 181.], [321. 217.]
58061238577, [307.91388 217.41315], [312.39417 178.58395], [329.7022  180.58102], [325.22192 219.41022]
58162734076, [312. 180.], [335. 180.], [335. 218.], [312. 218.]
58260740097, [316.89862 217.46301], [320.86572 179.77536], [329.45477 180.67947], [325.48767 218.36713]
58360630959, [348. 181.], [357. 181.], [357. 217.], [348. 217.]
58461234124, [359. 181.], [368. 181.], [368. 217.], [359. 217.]
58561490453, [367.73193 180.1031 ], [376.80408 179.69072], [378.44946 215.88866], [369.37732 216.30104]
58662611022, [359. 181.], [368. 181.], [368. 217.], [359. 217.]
58760568114, [366.86295 179.08122], [389.1066  177.49239], [391.84262 215.79695], [369.59897 217.38579]
58860669563, [374.58026 177.75356], [389.88232 176.5294 ], [392.99518 215.44038], [377.6931  216.66454]
59061539633, [374.44754 177.50276], [390.6133  176.65193], [392.66025 215.5442 ], [376.49448 216.39503]
59164158630, [365.868  179.1523], [389.03555 177.49748], [391.7665  215.73097], [368.59897 217.38579]
59261549373, [374.5561 179.1222], [383.93268 178.65335], [385.79303 215.86035], [376.41644 216.3292 ]
59361538761, [368. 180.], [377. 180.], [377. 217.], [368. 217.]
59462180764, [358. 181.], [367. 181.], [367. 217.], [358. 217.]
59562556194, [348. 181.], [356. 181.], [356. 219.], [348. 219.]
59663074985, [318. 218.], [318. 180.], [326. 180.], [326. 218.]
59761456643, [312. 180.], [334. 180.], [334. 218.], [312. 218.]
59861769495, [310. 179.], [326. 179.], [326. 218.], [310. 218.]
59962350161, [313. 202.], [313. 202.], [311. 202.], [311. 202.]
60062761724, [310. 218.], [310. 179.], [323. 179.], [323. 218.]
60164542300, [311. 179.], [330. 179.], [330. 218.], [311. 218.]
60264001489, [458.13733 233.5655 ], [459.9856  187.35942], [486.46326 188.41853], [484.615   234.62462]
60362621255, [446.44348 227.15837], [461.30774 185.53847], [479.86884 192.16743], [465.00458 233.78734]
60463713510, [353. 181.], [361. 181.], [361. 218.], [353. 218.]
60563663637, [363. 180.], [372. 180.], [372. 217.], [363. 217.]
60664534582, [370.51364 179.2179 ], [379.60312 178.64981], [381.9883  216.81323], [372.89883 217.38132]
60761730500, [377. 178.], [388. 178.], [388. 216.], [377. 216.]
60864186062, [369.1078  178.86153], [388.43085 176.44615], [393.30774 215.46153], [373.98468 217.8769 ]
60962031502, [375.21545 177.72307], [388.50775 176.06154], [393.5385 216.3077], [380.24622 217.96922]
61062759308, [376.07697 177.61537], [388.38464 176.07692], [393.30774 215.46153], [381.00006 216.99998]
61164230903, [371.59732 178.543  ], [390.74435 177.63123], [392.5634  215.83032], [373.41635 216.7421 ]
61261554756, [362.47797 179.16817], [386.57086 177.56197], [389.1195  215.79204], [365.0266  217.39824]
61361548943, [371.62668 179.16066], [380.74887 178.72627], [382.5181  215.88011], [373.3959 216.3145]
61461909413, [364. 180.], [373. 180.], [373. 217.], [364. 217.]
61562326997, [354. 181.], [362. 181.], [362. 218.], [354. 218.]
61663254539, [323. 181.], [331. 181.], [331. 218.], [323. 218.]
61761401851, [332. 181.], [340. 181.], [340. 219.], [332. 219.]
61861350535, [311. 180.], [331. 180.], [331. 218.], [311. 218.]
61961937815, [310. 179.], [324. 179.], [324. 218.], [310. 218.]
62163430675, [310. 179.], [326. 179.], [326. 218.], [310. 218.]
62261955901, [311.03278 217.63936], [314.49182 179.59016], [336.04102 181.54918], [332.58197 219.59837]
62361166078, [318. 218.], [318. 180.], [326. 180.], [326. 218.]
62461944426, [324.23056 217.61845], [327.17807 180.77425], [335.8029  181.46422], [332.85538 218.30843]
62562478853, [357. 181.], [365. 181.], [365. 218.], [357. 218.]
