time, angle
17560602000, 85.625244140625
17630929000, 84.4427719116211
17726014000, 87.49490356445312
17795256000, 6.072455883026123
17890605000, 60.64224624633789
17962329000, 9.752424240112305
18026050000, 68.56539154052734
18129251000, 63.7586555480957
18195279000, 5.764614582061768
18293146000, 22.28558921813965
18361530000, 16.729625701904297
18428050000, 63.43495178222656
18525284000, 84.80557250976562
18592628000, 17.289188385009766
18693130000, 63.43495178222656
18761941000, 80.51263427734375
18857145000, 86.96443176269531
18927286000, 65.71417999267578
18994940000, 21.63565444946289
19096504000, 63.14373779296875
19161094000, 68.94329833984375
19227623000, 86.49646759033203
19327164000, 60.076072692871094
19393346000, 59.74356460571289
19490202000, 63.99665069580078
19557985000, 22.02305793762207
19659243000, 60.51287078857422
19727432000, 86.18592071533203
19789261000, 16.57400894165039
